"Date","Total.cases","Total.tested","Total.deaths","Total.recovered","Total.tested.people","Total.vaccine","Total.people.vaccine.completed","Total.people.vaccine.onedose","DateReport","IcuAdmit","HospitalAdmit","Total.Hospital","Total.ICU","Total.casesBySpecimenDate","New.casesBySpecimenDate","MDHTestsByReportDate","ExternalPcr","TotalPcr","ExternalAntigen","TotalAntigen","TotalTestsByReportDate","ExternalTestsByReportDate","ICU","Currently.hospitalized"
2020-03-06,1,32,NA,NA,NA,NA,NA,NA,2020-03-05,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,1,49,NA,NA,NA,NA,NA,NA,2020-03-06,0,0,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,2,80,NA,NA,NA,NA,NA,NA,2020-03-07,0,0,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,2,82,NA,NA,NA,NA,NA,NA,2020-03-08,0,0,2,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,3,135,NA,NA,NA,NA,NA,NA,2020-03-09,1,1,3,2,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11,5,222,NA,NA,NA,NA,NA,NA,2020-03-10,0,0,3,2,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12,9,316,NA,NA,NA,NA,NA,NA,2020-03-11,0,1,4,2,21,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13,14,555,NA,NA,NA,NA,NA,NA,2020-03-12,0,2,6,2,43,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-14,21,868,NA,NA,NA,NA,NA,NA,2020-03-13,0,0,6,2,62,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15,35,1422,NA,NA,NA,NA,NA,NA,2020-03-14,0,2,8,2,90,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-16,54,1893,NA,NA,NA,NA,NA,NA,2020-03-15,0,2,10,2,128,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,60,2336,NA,NA,NA,NA,NA,NA,2020-03-16,0,4,14,2,179,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18,77,2762,NA,NA,NA,NA,NA,NA,2020-03-17,0,2,16,2,246,67,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19,89,3038,NA,NA,NA,NA,NA,NA,2020-03-18,2,3,19,4,269,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20,115,3856,NA,NA,NA,NA,NA,NA,2020-03-19,1,10,29,5,287,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21,137,4090,NA,NA,NA,NA,NA,NA,2020-03-20,2,4,33,7,303,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22,169,4680,NA,NA,NA,NA,NA,NA,2020-03-21,1,6,39,8,327,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,235,5662,NA,NA,NA,NA,NA,NA,2020-03-22,3,6,45,11,349,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,262,5812,1,NA,NA,NA,NA,NA,2020-03-23,0,8,53,11,394,45,NA,NA,NA,NA,NA,NA,NA,7,15
2020-03-25,287,11475,1,121,NA,NA,NA,NA,2020-03-24,4,12,65,15,445,51,NA,NA,NA,NA,NA,NA,NA,12,26
2020-03-26,346,12950,2,132,NA,NA,NA,NA,2020-03-25,6,14,79,21,503,58,NA,NA,NA,NA,NA,NA,NA,12,31
2020-03-27,398,14003,4,176,NA,NA,NA,NA,2020-03-26,9,24,103,30,566,63,NA,NA,NA,NA,NA,NA,NA,14,34
2020-03-28,441,16129,5,215,NA,NA,NA,NA,2020-03-27,6,14,117,36,641,75,NA,NA,NA,NA,NA,NA,NA,13,30
2020-03-29,503,17657,9,243,NA,NA,NA,NA,2020-03-28,11,19,136,47,688,47,470,1052,18079,NA,NA,18079,NA,16,39
2020-03-30,576,18822,10,250,NA,NA,NA,NA,2020-03-29,8,16,152,55,726,38,245,962,19286,NA,NA,19286,NA,24,56
2020-03-31,629,19780,12,276,NA,NA,NA,NA,2020-03-30,4,12,164,59,824,98,156,890,20332,NA,NA,20332,NA,26,56
2020-04-01,689,21191,17,325,NA,NA,NA,NA,2020-03-31,5,17,181,64,917,93,176,1342,21850,NA,NA,21850,NA,27,54
2020-04-02,742,22934,18,355,NA,NA,NA,NA,2020-04-01,10,25,206,74,974,57,300,702,22852,NA,NA,22852,NA,38,75
2020-04-03,789,24227,22,388,NA,NA,NA,NA,2020-04-02,12,24,230,86,1059,85,102,1879,24833,NA,NA,24833,NA,40,86
2020-04-04,865,25423,24,416,NA,NA,NA,NA,2020-04-03,9,16,246,95,1122,63,56,1292,26181,NA,NA,26181,NA,42,95
2020-04-05,935,26777,29,422,NA,NA,NA,NA,2020-04-04,4,12,258,99,1160,38,108,1553,27842,NA,NA,27842,NA,48,106
2020-04-06,986,28128,30,440,NA,NA,NA,NA,2020-04-05,7,23,281,106,1220,60,30,1435,29307,NA,NA,29307,NA,57,115
2020-04-07,1069,29260,34,515,NA,NA,NA,NA,2020-04-06,7,23,304,113,1333,113,46,1133,30486,NA,NA,30486,NA,64,120
2020-04-08,1154,30753,39,593,NA,NA,NA,NA,2020-04-07,5,28,332,118,1436,103,90,1462,32038,NA,NA,32038,NA,64,135
2020-04-09,1242,32294,50,625,NA,NA,NA,NA,2020-04-08,7,20,352,125,1538,102,80,1373,33491,NA,NA,33491,NA,63,145
2020-04-10,1336,33894,57,675,NA,NA,NA,NA,2020-04-09,16,30,382,141,1641,103,93,1738,35322,NA,NA,35322,NA,64,143
2020-04-11,1427,35777,64,729,NA,NA,NA,NA,2020-04-10,6,21,403,147,1736,95,107,1651,37080,NA,NA,37080,NA,69,145
2020-04-12,1621,37421,70,772,NA,NA,NA,NA,2020-04-11,7,17,420,154,1810,74,93,1533,38706,NA,NA,38706,NA,74,157
2020-04-13,1650,38427,70,772,NA,NA,NA,NA,2020-04-12,11,34,454,165,1867,57,56,1132,39894,NA,NA,39894,NA,74,157
2020-04-14,1695,39241,79,830,NA,NA,NA,NA,2020-04-13,10,26,480,175,2014,147,39,745,40678,NA,NA,40678,NA,75,177
2020-04-15,1809,40242,87,853,NA,NA,NA,NA,2020-04-14,16,35,515,191,2170,156,128,1062,41868,NA,NA,41868,NA,93,197
2020-04-16,1912,41675,94,926,NA,NA,NA,NA,2020-04-15,9,42,557,200,2322,152,137,1558,43563,NA,NA,43563,NA,103,213
2020-04-17,2071,43053,111,955,NA,NA,NA,NA,2020-04-16,11,28,585,211,2506,184,110,1343,45016,NA,NA,45016,NA,106,223
2020-04-18,2213,44368,121,997,NA,NA,NA,NA,2020-04-17,17,33,618,228,2686,180,126,1339,46481,NA,NA,46481,NA,111,239
2020-04-19,2356,45716,134,1026,NA,NA,NA,NA,2020-04-18,11,32,650,239,2809,123,123,1358,47962,NA,NA,47962,NA,116,228
2020-04-20,2470,46850,143,1059,NA,NA,NA,NA,2020-04-19,8,24,674,247,2935,126,66,1164,49192,NA,NA,49192,NA,126,237
2020-04-21,2567,47697,160,1094,NA,NA,NA,NA,2020-04-20,13,38,712,260,3212,277,124,716,50032,NA,NA,50032,NA,117,237
2020-04-22,2721,49344,179,1138,NA,NA,NA,NA,2020-04-21,11,39,751,271,3475,263,214,1533,51779,NA,NA,51779,NA,107,240
2020-04-23,2942,51548,200,1336,NA,NA,NA,NA,2020-04-22,11,48,799,282,3782,307,230,1899,53908,NA,NA,53908,NA,104,268
2020-04-24,3185,53787,221,1373,NA,NA,NA,NA,2020-04-23,11,46,845,293,4318,536,216,2273,56397,NA,NA,56397,NA,111,278
2020-04-25,3446,56597,244,1410,NA,NA,NA,NA,2020-04-24,12,49,894,305,4842,524,296,2794,59487,NA,NA,59487,NA,109,288
2020-04-26,3602,58987,272,1502,NA,NA,NA,NA,2020-04-25,12,42,936,317,5182,340,172,2448,62107,NA,NA,62107,NA,115,285
2020-04-27,3816,61268,286,1556,NA,NA,NA,NA,2020-04-26,15,46,982,332,5568,386,71,2492,64670,NA,NA,64670,NA,122,292
2020-04-28,4181,63829,301,1611,NA,NA,NA,NA,2020-04-27,14,61,1043,346,6249,681,149,1868,66687,NA,NA,66687,NA,120,314
2020-04-29,4644,66744,319,1724,NA,NA,NA,NA,2020-04-28,16,51,1094,362,6857,608,268,3081,70036,NA,NA,70036,NA,119,320
2020-04-30,5136,70276,343,1829,NA,NA,NA,NA,2020-04-29,22,65,1159,384,7543,686,253,6799,77088,NA,NA,77088,NA,130,365
2020-05-01,5730,74829,371,1911,NA,NA,NA,NA,2020-04-30,19,58,1217,403,8194,651,429,3912,81429,NA,NA,81429,NA,118,369
2020-05-02,6228,79007,395,2002,NA,NA,NA,NA,2020-05-01,18,61,1278,421,8817,623,277,4194,85900,NA,NA,85900,NA,135,389
2020-05-03,6663,82632,419,2596,NA,NA,NA,NA,2020-05-02,30,72,1350,451,9154,337,302,3532,89734,NA,NA,89734,NA,155,373
2020-05-04,7234,85941,428,3784,NA,NA,NA,NA,2020-05-03,17,65,1415,468,9494,340,70,3089,92893,NA,NA,92893,NA,166,396
2020-05-05,7851,88009,455,4159,NA,NA,NA,NA,2020-05-04,23,60,1475,491,10320,826,231,3835,96959,NA,NA,96959,NA,182,434
2020-05-06,8579,93232,485,4520,NA,NA,NA,NA,2020-05-05,19,60,1535,510,10970,650,266,2898,100123,NA,NA,100123,NA,180,443
2020-05-07,9365,97421,508,4800,NA,NA,NA,NA,2020-05-06,25,70,1605,535,11611,641,323,4140,104586,NA,NA,104586,NA,182,435
2020-05-08,10088,101270,534,5163,NA,NA,NA,NA,2020-05-07,21,59,1664,556,12428,817,336,4673,109595,NA,NA,109595,NA,198,473
2020-05-09,10790,106263,558,5764,NA,NA,NA,NA,2020-05-08,20,62,1726,576,13141,713,254,4622,114471,NA,NA,114471,NA,180,476
2020-05-10,11271,111088,578,6304,NA,NA,NA,NA,2020-05-09,15,63,1789,591,13421,280,232,4676,119379,NA,NA,119379,NA,199,434
2020-05-11,11799,115781,591,6945,NA,NA,NA,NA,2020-05-10,15,55,1844,606,13651,230,68,5225,124672,NA,NA,124672,NA,194,452
2020-05-12,12486,120834,614,7609,NA,NA,NA,NA,2020-05-11,18,61,1905,624,14472,821,278,5019,129969,NA,NA,129969,NA,199,496
2020-05-13,12917,122035,638,8149,NA,NA,NA,NA,2020-05-12,17,54,1959,641,15134,662,355,3657,133981,NA,NA,133981,NA,199,494
2020-05-14,13435,128752,663,8473,NA,NA,NA,NA,2020-05-13,17,72,2031,658,15870,736,301,6991,141273,NA,NA,141273,NA,203,498
2020-05-15,14240,134669,683,8820,NA,NA,NA,NA,2020-05-14,13,60,2091,671,16668,798,1074,5658,148005,NA,NA,148005,NA,200,498
2020-05-16,14969,143281,700,9571,NA,NA,NA,NA,2020-05-15,12,65,2156,683,17465,797,548,8675,157228,NA,NA,157228,NA,225,493
2020-05-17,15668,150605,722,10175,NA,NA,NA,NA,2020-05-16,23,76,2232,706,17810,345,717,7272,165217,NA,NA,165217,NA,221,487
2020-05-18,16372,156606,731,10764,NA,NA,NA,NA,2020-05-17,20,57,2289,726,18123,313,232,5744,171193,NA,NA,171193,NA,229,488
2020-05-19,17029,161835,748,11540,NA,NA,NA,NA,2020-05-18,19,70,2359,745,19102,979,132,6252,177577,NA,NA,177577,NA,229,545
2020-05-20,17670,167338,777,12227,NA,NA,NA,NA,2020-05-19,22,86,2445,767,19963,861,601,5768,183946,NA,NA,183946,NA,212,550
